,Date:,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,,Job #,Time,,Hours,
,,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT,,IN,OUT,Regular,OT
,"Thursday, April 16, 2026",MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,7:00,5:30,8,1.5,,OFF,,,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,/,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,Modified,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Friday, April 17, 2026",MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT1,7:00,5:30,8,1.5,MT2,7:00,5:30,8,0.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,/,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,12:00,5,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,OFF,,,,Modified,7:00,5:30,8,1.5,MT1,7:00,5:30,8,1.5,MT2,7:00,12:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Saturday, April 18, 2026",MT2,7:00,12:30,5.5,,,,,,,,,,,,MT2,7:30,1:30,6,,MT2,7:00,12:00,5,,,,,,,MT2,7:00,2:00,7,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,MT2,7:00,12:00,5,,MT2,7:00,12:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Monday, April 20, 2026",MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT1,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,/,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,Modified,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuesday, April 21, 2026",MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,/,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,Modified,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wednesday, April 22, 2026",MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,/,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,Modified,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thursday, April 23, 2026",MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,6:30,5:30,8,2,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,/,,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,Modified,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,MT2,7:00,5:30,8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
